IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2131,"{2, 34, 5, 7, 20}","{34, 36, 37, 38, 5, 40, 41, 10, 43, 42, 16, 20, 23, 28}",3,"[34, 20, 5]",14,False
2132,"{40, 12, 14, 18, 28}","{32, 36, 37, 38, 40, 41, 10, 43, 42, 11, 16, 23, 28}",2,"[40, 28]",8,False
2133,"{40, 17, 19, 21, 24}","{32, 35, 36, 37, 38, 39, 8, 41, 10, 43, 11, 16, 23}",1,[],11,True
2134,"{36, 7, 13, 17, 21}","{32, 1, 2, 35, 36, 37, 38, 39, 8, 33, 10, 43, 11, 16, 22}",2,[36],1,True
2135,"{4, 37, 5, 42, 29}","{32, 1, 33, 35, 34, 37, 38, 39, 8, 2, 10, 43, 11, 12, 15, 16, 22, 28}",1,[37],13,False
2136,"{35, 37, 39, 42, 18}","{32, 1, 34, 35, 33, 2, 39, 10, 11, 12, 15, 16, 20, 22, 25, 28}",2,"[35, 39]",13,False
2137,"{1, 6, 16, 22, 31}","{32, 1, 34, 33, 2, 11, 12, 14, 15, 16, 20, 22, 25, 27}",4,"[16, 1, 22]",16,True
2138,"{35, 6, 7, 9, 18}","{33, 2, 4, 7, 11, 12, 14, 20, 25, 27}",1,[7],6,False
2139,"{12, 15, 22, 26, 28}","{33, 2, 4, 40, 42, 11, 12, 13, 14, 20, 21, 25, 27, 28, 29}",2,"[12, 28]",7,False
2140,"{34, 36, 17, 25, 29}","{33, 2, 4, 5, 40, 42, 11, 13, 14, 21, 25, 27, 29}",2,"[25, 29]",12,False
2141,"{38, 9, 13, 24, 29}","{33, 2, 4, 5, 6, 40, 42, 11, 13, 21, 27, 31}",1,[13],9,False
2142,"{43, 13, 15, 16, 24}","{33, 2, 4, 5, 37, 6, 40, 7, 42, 11, 16, 21, 27, 28, 31}",2,[16],13,True
