1,10,11,18,32,38
2,10,11,16,26,28
3,05,09,19,28,34
4,04,09,21,30,35
5,07,12,21,30,32
6,01,03,08,11,26
7,01,11,12,19,30
8,01,04,15,22,30
9,08,22,25,35,36
10,07,12,21,28,37
11,13,16,21,25,34
12,11,20,27,33,37
13,03,06,14,19,38
14,09,11,12,32,38
15,01,03,17,20,38
16,06,07,11,23,36
17,08,18,31,33,34
18,01,04,06,07,37
19,05,19,23,31,38
20,13,23,27,33,37
21,08,10,18,38,39
22,08,23,27,29,35
23,03,14,23,28,29
24,06,12,15,27,39
25,02,03,10,16,28
26,09,11,25,31,36
27,03,06,14,17,20
28,07,17,19,33,34
29,21,23,29,31,34
30,07,08,21,22,34
31,07,09,13,24,30
32,04,10,17,29,38
33,09,13,18,23,25
34,02,06,19,26,34
35,07,14,20,21,37
36,09,10,13,15,34
37,08,17,25,29,30
38,03,07,08,24,28
39,03,05,17,25,29
40,01,02,03,06,26
41,19,24,25,27,31
42,15,17,21,26,34
43,02,06,13,17,37
44,08,14,15,21,33
45,05,09,22,24,31
46,03,08,13,28,30
47,03,15,17,20,23
48,03,08,23,26,35
49,04,18,21,25,32
50,18,19,24,33,37
51,05,11,12,15,32
52,02,03,05,12,36
53,04,09,13,14,27
54,02,19,24,29,35
55,16,17,35,38,39
56,07,15,21,23,24
57,02,14,21,34,38
58,10,17,26,32,34
59,28,32,35,36,38
60,07,09,15,25,39
61,04,27,37,38,39
62,04,18,26,31,39
63,01,02,12,19,38
64,05,09,20,22,32
65,05,23,33,36,37
66,05,10,13,25,30
67,03,05,07,15,37
68,06,08,14,26,35
69,12,15,28,33,34
70,08,16,28,29,38
71,02,17,25,32,33
72,14,17,18,36,37
73,01,16,18,21,26
74,05,07,21,26,39
75,05,11,27,34,38
76,03,09,17,27,30
77,03,10,12,17,24
78,03,15,35,36,37
79,01,04,09,29,35
80,03,08,23,26,29
81,05,07,21,29,38
82,01,07,12,20,34
83,15,18,25,30,33
84,03,05,19,21,27
85,02,11,24,25,30
86,21,25,26,31,33
87,03,26,30,33,39
88,04,06,08,12,26
89,06,10,29,32,36
90,06,07,10,32,39
91,03,13,30,35,38
92,01,14,31,37,38
93,07,12,17,18,34
94,02,09,14,15,26
95,02,08,10,14,17
96,04,07,14,21,36
97,15,16,19,22,37
98,02,11,15,17,31
99,09,10,12,24,34
100,20,25,28,29,34
101,13,31,33,34,35
102,06,10,11,31,39
103,06,18,21,27,37
104,04,06,08,17,30
105,03,20,21,26,30
106,05,09,23,31,37
107,03,13,18,34,35
108,02,20,21,25,26
109,07,21,23,24,27
110,14,18,25,30,38
111,01,15,22,27,38
112,05,13,21,22,39
113,09,13,14,18,21
114,01,02,08,32,36
115,02,15,16,24,30
116,03,18,21,24,27
117,04,24,33,37,39
118,02,20,28,32,37
119,01,17,19,25,38
120,23,32,33,35,36
121,28,29,32,34,35
122,03,09,19,30,35
123,01,15,16,20,25
124,02,06,19,25,27
125,07,15,21,28,34
126,06,08,16,17,33
127,16,18,25,28,39
128,13,15,23,25,37
129,01,18,21,31,35
130,05,11,12,25,26
131,06,12,13,30,39
132,12,14,31,34,35
133,02,06,09,22,39
134,11,14,22,24,34
135,06,09,12,26,39
136,17,19,23,26,32
137,02,09,22,33,38
138,15,20,24,34,36
139,04,17,23,29,38
140,05,14,19,25,30
141,12,13,20,22,36
142,09,16,21,27,34
143,04,18,24,27,34
144,01,17,26,30,35
145,01,08,24,36,39
146,04,07,27,31,34
147,13,30,36,37,38
148,06,08,12,14,38
149,08,16,24,26,32
150,01,16,22,34,38
151,04,06,17,31,32
152,04,08,10,19,31
153,13,23,27,33,37
154,06,11,16,17,24
155,02,10,14,29,39
156,03,16,19,32,33
157,05,10,14,28,35
158,01,19,27,33,37
159,01,03,18,19,26
160,13,15,17,25,27
161,10,16,24,35,39
162,08,10,13,15,37
163,07,08,10,14,37
164,02,05,16,22,34
165,13,15,22,26,29
166,07,16,28,35,39
167,08,23,29,30,34
168,06,19,25,27,37
169,04,20,30,34,35
170,17,22,24,31,37
171,10,20,22,28,31
172,03,07,13,28,32
173,05,12,18,30,36
174,06,07,09,13,35
175,02,12,19,28,35
176,12,14,25,37,38
177,06,12,16,24,29
178,03,12,21,25,39
179,01,17,18,35,37
180,05,17,25,30,36
181,04,05,09,18,19
182,01,05,13,16,36
183,24,25,34,37,39
184,01,07,14,21,35
185,19,23,24,33,34
186,02,18,24,26,30
187,03,05,17,24,26
188,13,15,24,33,36
189,11,17,23,27,35
190,01,14,17,22,34
191,01,03,15,18,39
192,01,03,12,19,23
193,12,15,24,29,34
194,08,15,16,18,23
195,14,16,18,21,39
196,05,21,28,35,36
197,03,06,10,18,33
198,08,21,22,36,39
199,10,19,29,34,38
200,02,03,06,18,30
201,08,18,20,23,32
202,20,25,32,34,36
203,02,04,10,20,29
204,01,03,06,18,38
205,04,18,23,34,35
206,03,23,27,34,37
207,16,18,22,33,39
208,05,11,12,15,21
209,12,28,32,33,36
210,07,18,21,38,39
211,01,13,19,33,36
212,01,06,13,26,28
213,10,13,18,27,31
214,01,02,09,25,37
215,08,10,19,25,32
216,02,05,13,16,23
217,01,04,07,14,23
218,03,08,12,26,34
219,01,05,14,28,29
220,10,22,23,29,37
221,10,20,22,34,36
222,07,17,30,35,37
223,06,10,12,26,32
224,06,08,12,23,31
225,02,04,06,12,22
226,13,23,28,32,39
227,01,11,23,27,34
228,01,02,12,26,33
229,08,10,20,24,33
230,20,21,24,35,36
231,06,13,16,30,37
232,07,20,26,27,38
233,12,19,22,28,38
234,21,25,26,27,35
235,18,21,27,34,38
236,06,13,17,32,33
237,07,10,15,23,35
238,02,03,14,27,34
239,02,17,27,35,38
240,05,13,20,29,36
241,02,07,24,29,39
242,05,20,26,38,39
243,02,03,15,18,33
244,01,04,11,22,39
245,06,08,21,29,31
246,02,08,10,17,18
247,11,14,22,28,35
248,01,11,16,26,32
249,09,23,24,33,35
250,04,13,17,24,25
251,01,04,05,17,36
252,03,08,20,23,26
253,04,06,10,21,24
254,07,10,11,24,28
255,02,07,09,16,34
256,11,24,28,33,39
257,04,10,14,16,37
258,01,03,14,26,28
259,03,05,06,07,37
260,03,23,24,26,32
261,08,13,23,25,36
262,01,11,24,26,39
263,20,27,33,34,39
264,01,06,19,20,35
265,04,06,08,22,25
266,20,21,25,32,39
267,16,18,25,33,34
268,03,06,11,13,35
269,07,10,12,24,30
270,10,13,19,26,33
271,04,28,31,37,38
272,03,14,18,19,35
273,02,14,19,33,37
274,13,19,21,26,36
275,15,18,26,29,31
276,09,10,24,28,30
277,10,11,16,24,39
278,09,28,30,35,38
279,01,04,19,29,36
280,17,25,27,31,36
281,10,11,28,33,38
282,02,08,12,31,39
283,03,07,34,35,38
284,03,10,12,19,24
285,07,09,14,19,28
286,13,16,23,37,39
287,03,14,21,24,32
288,06,07,10,23,39
289,05,11,15,29,39
290,01,15,33,36,38
291,07,13,14,31,38
292,06,12,16,18,38
293,07,17,30,31,32
294,04,13,29,30,31
295,14,16,17,28,38
296,08,15,21,30,37
297,11,17,25,34,39
298,06,17,19,24,36
299,03,11,15,16,21
300,02,03,24,36,39
301,04,11,26,36,39
302,14,15,18,27,31
303,14,23,25,32,35
304,04,12,16,33,37
305,02,03,23,28,29
306,07,10,19,24,31
307,04,12,15,34,37
308,06,09,14,16,32
309,04,10,18,24,35
310,05,18,35,37,38
311,14,23,36,37,38
312,06,08,13,15,26
313,07,08,10,29,31
314,02,18,28,33,38
315,10,20,28,29,38
316,12,21,22,37,39
317,02,05,13,17,26
318,04,16,27,29,32
319,13,23,26,30,36
320,04,13,14,21,31
321,05,15,17,21,25
322,01,08,22,37,38
323,01,04,06,21,23
324,02,06,20,27,31
325,02,04,09,21,39
326,10,20,26,28,37
327,02,05,12,19,23
328,08,14,25,26,34
329,01,08,10,16,34
330,09,10,17,23,25
331,03,04,10,12,27
332,12,27,32,37,39
333,11,23,26,27,36
334,01,02,07,22,33
335,01,04,07,22,39
336,06,15,23,27,31
337,01,02,09,16,37
338,08,11,31,33,35
339,13,19,20,24,27
340,03,11,13,30,37
341,03,17,19,33,35
342,05,13,21,23,35
343,03,11,12,31,38
344,05,14,20,24,37
345,14,22,25,33,39
346,02,08,24,37,38
347,03,08,13,14,30
348,08,15,16,26,32
349,14,16,19,22,23
350,03,09,27,34,39
351,10,15,28,29,37
352,03,22,25,26,33
353,15,17,28,30,38
354,10,11,13,29,36
355,03,12,15,16,20
356,01,02,03,20,22
357,01,16,20,29,33
358,03,19,22,25,28
359,13,14,18,26,35
360,09,15,20,23,26
361,11,13,16,17,38
362,03,11,29,30,38
363,05,07,21,35,36
364,07,15,17,25,28
365,03,15,28,31,32
366,05,08,10,11,36
367,03,06,08,19,27
368,09,10,17,30,37
369,13,17,23,25,32
