2081,01/05/2021,Tr,NO,SI,22,23,27,28,30,03
2081,01/05/2021,Re,NO,SI,01,16,34,41,43,02
2082,05/05/2021,Tr,NO,SI,02,05,10,23,34,07
2082,05/05/2021,Re,NO,SI,03,15,17,29,32,16
2083,08/05/2021,Tr,NO,SI,04,08,09,28,37,11
2083,08/05/2021,Re,NO,SI,05,10,24,29,41,11
2084,12/05/2021,Tr,NO,SI,04,23,28,29,31,16
2084,12/05/2021,Re,SI,SI,04,06,08,09,16,05
2085,15/05/2021,Tr,NO,SI,03,05,25,30,42,08
2085,15/05/2021,Re,NO,SI,17,26,31,35,38,10
2086,19/05/2021,Tr,NO,SI,09,12,16,21,30,01
2086,19/05/2021,Re,NO,SI,13,20,29,39,40,16
2087,22/05/2021,Tr,NO,SI,08,29,32,34,42,05
2087,22/05/2021,Re,NO,SI,02,09,13,35,39,12
2088,26/05/2021,Tr,NO,SI,03,09,12,34,35,13
2088,26/05/2021,Re,NO,SI,05,16,31,32,33,14
2089,29/05/2021,Tr,NO,SI,08,12,18,40,43,04
2089,29/05/2021,Re,NO,SI,01,08,18,29,40,02
2090,02/06/2021,Tr,NO,SI,01,15,22,36,37,13
2090,02/06/2021,Re,NO,SI,03,05,22,26,35,03
2091,05/06/2021,Tr,NO,SI,01,04,05,16,30,07
2091,05/06/2021,Re,NO,SI,01,09,10,13,27,08
2092,09/06/2021,Tr,NO,SI,07,14,20,34,41,04
2092,09/06/2021,Re,NO,SI,06,07,26,27,41,15
2093,12/06/2021,Tr,NO,SI,09,15,25,27,33,13
2093,12/06/2021,Re,NO,SI,18,19,25,26,43,09
2094,16/06/2021,Tr,NO,SI,07,08,21,30,42,02
2094,16/06/2021,Re,NO,SI,02,06,28,34,38,11
2095,19/06/2021,Tr,NO,SI,01,05,08,14,40,08
2095,19/06/2021,Re,NO,SI,05,08,14,26,33,03
2096,23/06/2021,Tr,NO,SI,06,19,20,37,38,10
2096,23/06/2021,Re,NO,SI,15,16,17,39,41,09
2097,26/06/2021,Tr,NO,SI,06,21,22,34,36,10
2097,26/06/2021,Re,NO,SI,04,14,31,32,43,16
2098,30/06/2021,Tr,NO,SI,26,29,39,42,43,04
2098,30/06/2021,Re,NO,SI,23,28,35,37,38,15
2099,03/07/2021,Tr,NO,SI,21,22,23,33,41,08
2099,03/07/2021,Re,NO,SI,01,09,13,22,29,14
2100,07/07/2021,Tr,NO,SI,05,09,16,29,42,11
2100,07/07/2021,Re,NO,SI,05,17,21,26,31,07
2101,10/07/2021,Tr,NO,SI,08,15,30,35,36,03
2101,10/07/2021,Re,NO,SI,03,05,25,27,36,14
2102,14/07/2021,Tr,NO,SI,07,08,18,34,42,08
2102,14/07/2021,Re,NO,SI,20,24,27,29,36,01
2103,17/07/2021,Tr,NO,SI,14,18,20,32,33,04
2103,17/07/2021,Re,NO,SI,15,16,24,26,40,09
2104,21/07/2021,Tr,NO,SI,07,09,15,16,26,11
2104,21/07/2021,Re,NO,SI,03,07,23,35,36,10
2105,24/07/2021,Tr,NO,SI,21,22,29,30,38,11
2105,24/07/2021,Re,NO,SI,03,13,16,36,40,05
