IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2128,"{2, 10, 15, 22, 25}","{35, 6, 7, 40, 11, 15, 21, 22, 24, 28}",2,"[22, 15]",6,False
2129,"{6, 10, 25, 26, 27}","{33, 36, 37, 6, 7, 9, 11, 43, 21, 23, 24, 28}",1,[6],6,False
2130,"{39, 13, 14, 18, 21}","{33, 34, 36, 37, 38, 7, 39, 9, 41, 11, 43, 13, 18, 23, 24, 28}",3,"[18, 13, 39]",13,False
2131,"{1, 2, 18, 19, 23}","{33, 34, 36, 37, 38, 7, 4, 9, 41, 43, 11, 12, 19, 23, 24, 28, 30}",2,"[19, 23]",7,False
2132,"{6, 9, 16, 17, 26}","{33, 34, 36, 37, 38, 7, 8, 41, 9, 43, 11, 4, 10, 12, 28, 30}",1,[9],6,False
2133,"{42, 43, 12, 19, 31}","{33, 34, 36, 37, 38, 7, 8, 41, 4, 43, 11, 12, 10, 28, 30}",2,"[43, 12]",2,False
2134,"{35, 4, 39, 43, 12}","{33, 34, 4, 37, 38, 7, 8, 41, 11, 20, 25, 27, 28, 30}",1,[4],14,False
2135,"{32, 3, 43, 19, 26}","{33, 34, 37, 38, 7, 8, 41, 11, 15, 20, 22, 25, 27, 30}",0,[],11,False
2136,"{34, 5, 7, 43, 23}","{33, 34, 37, 38, 6, 7, 11, 13, 15, 16, 18, 20, 22, 25, 27, 30}",2,"[34, 7]",11,False
2137,"{32, 11, 12, 28, 29}","{33, 1, 2, 37, 38, 6, 9, 10, 11, 13, 15, 16, 18, 20, 22, 25, 30}",1,[11],13,False
2138,"{32, 1, 33, 11, 22}","{1, 2, 37, 6, 38, 9, 10, 13, 15, 16, 17, 18, 20, 21, 22, 25, 30, 31}",2,"[1, 22]",12,False
2139,"{1, 33, 4, 12, 13}","{2, 3, 4, 6, 9, 10, 13, 15, 16, 17, 18, 20, 21, 25, 26, 30, 31, 35, 37, 38, 39}",2,"[4, 13]",13,False
2140,"{33, 4, 39, 7, 19}","{2, 3, 6, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21, 26, 30, 31, 35, 37, 38, 39, 43}",2,"[19, 39]",8,False
2141,"{6, 40, 20, 24, 30}","{2, 3, 5, 6, 9, 10, 14, 16, 17, 18, 20, 21, 26, 29, 30, 31, 35, 38, 43}",3,"[20, 6, 30]",16,False
2142,"{35, 9, 11, 15, 20}","{2, 35, 3, 5, 10, 43, 14, 16, 17, 18, 21, 23, 26, 31}",2,[35],2,True
2143,"{42, 43, 25, 27, 31}","{32, 2, 3, 5, 10, 43, 12, 42, 14, 16, 17, 18, 21, 23, 26, 31}",4,"[42, 43, 31]",14,True
2144,"{33, 35, 40, 9, 25}","{32, 2, 3, 5, 14, 18, 21, 23, 29}",1,[],7,True
